Theme,Topic,SubTopic,Detail,Importance
Theme_1,Topic_1,SubTopic_1,Detail_1,22026.46579
Theme_1,Topic_1,SubTopic_1,Detail_2,1096.633158
Theme_1,Topic_1,SubTopic_1,Detail_3,1096.633158
Theme_1,Topic_1,SubTopic_1,Detail_4,54.59815003
Theme_1,Topic_1,SubTopic_1,Detail_5,403.4287935
Theme_1,Topic_1,SubTopic_1,Detail_6,20.08553692
Theme_1,Topic_1,SubTopic_1,Detail_7,1096.633158
Theme_1,Topic_1,SubTopic_1,Detail_8,148.4131591
Theme_1,Topic_1,SubTopic_1,Detail_9,1096.633158
Theme_1,Topic_1,SubTopic_2,Detail_10,54.59815003
Theme_1,Topic_1,SubTopic_2,Detail_11,2.718281828
Theme_1,Topic_1,SubTopic_2,Detail_12,2.718281828
Theme_1,Topic_1,SubTopic_2,Detail_13,22026.46579
Theme_1,Topic_1,SubTopic_2,Detail_14,7.389056099
Theme_1,Topic_1,SubTopic_2,Detail_15,2980.957987
Theme_1,Topic_1,SubTopic_2,Detail_16,54.59815003
Theme_1,Topic_1,SubTopic_2,Detail_17,1
Theme_1,Topic_1,SubTopic_2,Detail_18,20.08553692
Theme_1,Topic_1,SubTopic_3,Detail_19,1096.633158
Theme_1,Topic_1,SubTopic_3,Detail_20,8103.083928
Theme_1,Topic_1,SubTopic_3,Detail_21,148.4131591
Theme_1,Topic_1,SubTopic_3,Detail_22,7.389056099
Theme_1,Topic_1,SubTopic_3,Detail_23,1
Theme_1,Topic_1,SubTopic_3,Detail_24,20.08553692
Theme_1,Topic_1,SubTopic_3,Detail_25,2980.957987
Theme_1,Topic_1,SubTopic_3,Detail_26,8103.083928
Theme_1,Topic_1,SubTopic_3,Detail_27,2980.957987
Theme_1,Topic_1,SubTopic_4,Detail_28,8103.083928
Theme_1,Topic_1,SubTopic_4,Detail_29,403.4287935
Theme_1,Topic_1,SubTopic_4,Detail_30,1
Theme_1,Topic_1,SubTopic_4,Detail_31,8103.083928
Theme_1,Topic_1,SubTopic_4,Detail_32,1
Theme_1,Topic_1,SubTopic_4,Detail_33,1
Theme_1,Topic_1,SubTopic_4,Detail_34,8103.083928
Theme_1,Topic_1,SubTopic_4,Detail_35,54.59815003
Theme_1,Topic_1,SubTopic_4,Detail_36,2.718281828
Theme_1,Topic_1,SubTopic_5,Detail_37,7.389056099
Theme_1,Topic_1,SubTopic_5,Detail_38,22026.46579
Theme_1,Topic_1,SubTopic_5,Detail_39,1
Theme_1,Topic_1,SubTopic_5,Detail_40,148.4131591
Theme_1,Topic_1,SubTopic_5,Detail_41,2.718281828
Theme_1,Topic_1,SubTopic_5,Detail_42,8103.083928
Theme_1,Topic_1,SubTopic_5,Detail_43,20.08553692
Theme_1,Topic_1,SubTopic_5,Detail_44,2.718281828
Theme_1,Topic_1,SubTopic_5,Detail_45,2980.957987
Theme_1,Topic_1,SubTopic_6,Detail_46,54.59815003
Theme_1,Topic_1,SubTopic_6,Detail_47,1096.633158
Theme_1,Topic_1,SubTopic_6,Detail_48,148.4131591
Theme_1,Topic_1,SubTopic_6,Detail_49,20.08553692
Theme_1,Topic_1,SubTopic_6,Detail_50,148.4131591
Theme_1,Topic_1,SubTopic_6,Detail_51,148.4131591
Theme_1,Topic_1,SubTopic_6,Detail_52,2980.957987
Theme_1,Topic_1,SubTopic_6,Detail_53,22026.46579
Theme_1,Topic_1,SubTopic_6,Detail_54,1
Theme_1,Topic_2,SubTopic_7,Detail_55,403.4287935
Theme_1,Topic_2,SubTopic_7,Detail_56,403.4287935
Theme_1,Topic_2,SubTopic_7,Detail_57,54.59815003
Theme_1,Topic_2,SubTopic_7,Detail_58,1
Theme_1,Topic_2,SubTopic_7,Detail_59,7.389056099
Theme_1,Topic_2,SubTopic_7,Detail_60,1096.633158
Theme_1,Topic_2,SubTopic_7,Detail_61,8103.083928
Theme_1,Topic_2,SubTopic_7,Detail_62,20.08553692
Theme_1,Topic_2,SubTopic_7,Detail_63,7.389056099
Theme_1,Topic_2,SubTopic_8,Detail_64,148.4131591
Theme_1,Topic_2,SubTopic_8,Detail_65,54.59815003
Theme_1,Topic_2,SubTopic_8,Detail_66,54.59815003
Theme_1,Topic_2,SubTopic_8,Detail_67,7.389056099
Theme_1,Topic_2,SubTopic_8,Detail_68,20.08553692
Theme_1,Topic_2,SubTopic_8,Detail_69,1
Theme_1,Topic_2,SubTopic_8,Detail_70,20.08553692
Theme_1,Topic_2,SubTopic_8,Detail_71,1096.633158
Theme_1,Topic_2,SubTopic_8,Detail_72,2980.957987
Theme_1,Topic_2,SubTopic_9,Detail_73,1
Theme_1,Topic_2,SubTopic_9,Detail_74,403.4287935
Theme_1,Topic_2,SubTopic_9,Detail_75,54.59815003
Theme_1,Topic_2,SubTopic_9,Detail_76,20.08553692
Theme_1,Topic_2,SubTopic_9,Detail_77,54.59815003
Theme_1,Topic_2,SubTopic_9,Detail_78,2980.957987
Theme_1,Topic_2,SubTopic_9,Detail_79,54.59815003
Theme_1,Topic_2,SubTopic_9,Detail_80,2980.957987
Theme_1,Topic_2,SubTopic_9,Detail_81,7.389056099
Theme_1,Topic_2,SubTopic_10,Detail_82,1096.633158
Theme_1,Topic_2,SubTopic_10,Detail_83,54.59815003
Theme_1,Topic_2,SubTopic_10,Detail_84,8103.083928
Theme_1,Topic_2,SubTopic_10,Detail_85,8103.083928
Theme_1,Topic_2,SubTopic_10,Detail_86,7.389056099
Theme_1,Topic_2,SubTopic_10,Detail_87,8103.083928
Theme_1,Topic_2,SubTopic_10,Detail_88,54.59815003
Theme_1,Topic_2,SubTopic_10,Detail_89,403.4287935
Theme_1,Topic_2,SubTopic_10,Detail_90,1096.633158
Theme_1,Topic_2,SubTopic_11,Detail_91,403.4287935
Theme_1,Topic_2,SubTopic_11,Detail_92,148.4131591
Theme_1,Topic_2,SubTopic_11,Detail_93,2.718281828
Theme_1,Topic_2,SubTopic_11,Detail_94,7.389056099
Theme_1,Topic_2,SubTopic_11,Detail_95,148.4131591
Theme_1,Topic_2,SubTopic_11,Detail_96,2980.957987
Theme_1,Topic_2,SubTopic_11,Detail_97,7.389056099
Theme_1,Topic_2,SubTopic_11,Detail_98,54.59815003
Theme_1,Topic_2,SubTopic_11,Detail_99,20.08553692
Theme_1,Topic_2,SubTopic_12,Detail_100,2980.957987
Theme_1,Topic_2,SubTopic_12,Detail_101,2980.957987
Theme_1,Topic_2,SubTopic_12,Detail_102,22026.46579
Theme_1,Topic_2,SubTopic_12,Detail_103,1096.633158
Theme_1,Topic_2,SubTopic_12,Detail_104,2980.957987
Theme_1,Topic_2,SubTopic_12,Detail_105,403.4287935
Theme_1,Topic_2,SubTopic_12,Detail_106,1096.633158
Theme_1,Topic_2,SubTopic_12,Detail_107,54.59815003
Theme_1,Topic_2,SubTopic_12,Detail_108,54.59815003
Theme_1,Topic_3,SubTopic_13,Detail_109,54.59815003
Theme_1,Topic_3,SubTopic_13,Detail_110,2.718281828
Theme_1,Topic_3,SubTopic_13,Detail_111,22026.46579
Theme_1,Topic_3,SubTopic_13,Detail_112,403.4287935
Theme_1,Topic_3,SubTopic_13,Detail_113,1096.633158
Theme_1,Topic_3,SubTopic_13,Detail_114,148.4131591
Theme_1,Topic_3,SubTopic_13,Detail_115,2.718281828
Theme_1,Topic_3,SubTopic_13,Detail_116,8103.083928
Theme_1,Topic_3,SubTopic_13,Detail_117,403.4287935
Theme_1,Topic_3,SubTopic_14,Detail_118,403.4287935
Theme_1,Topic_3,SubTopic_14,Detail_119,8103.083928
Theme_1,Topic_3,SubTopic_14,Detail_120,148.4131591
Theme_1,Topic_3,SubTopic_14,Detail_121,1
Theme_1,Topic_3,SubTopic_14,Detail_122,2.718281828
Theme_1,Topic_3,SubTopic_14,Detail_123,8103.083928
Theme_1,Topic_3,SubTopic_14,Detail_124,8103.083928
Theme_1,Topic_3,SubTopic_14,Detail_125,1
Theme_1,Topic_3,SubTopic_14,Detail_126,22026.46579
Theme_1,Topic_3,SubTopic_15,Detail_127,148.4131591
Theme_1,Topic_3,SubTopic_15,Detail_128,7.389056099
Theme_1,Topic_3,SubTopic_15,Detail_129,403.4287935
Theme_1,Topic_3,SubTopic_15,Detail_130,22026.46579
Theme_1,Topic_3,SubTopic_15,Detail_131,2980.957987
Theme_1,Topic_3,SubTopic_15,Detail_132,2980.957987
Theme_1,Topic_3,SubTopic_15,Detail_133,7.389056099
Theme_1,Topic_3,SubTopic_15,Detail_134,22026.46579
Theme_1,Topic_3,SubTopic_15,Detail_135,2.718281828
Theme_1,Topic_3,SubTopic_16,Detail_136,1096.633158
Theme_1,Topic_3,SubTopic_16,Detail_137,22026.46579
Theme_1,Topic_3,SubTopic_16,Detail_138,148.4131591
Theme_1,Topic_3,SubTopic_16,Detail_139,7.389056099
Theme_1,Topic_3,SubTopic_16,Detail_140,54.59815003
Theme_1,Topic_3,SubTopic_16,Detail_141,148.4131591
Theme_1,Topic_3,SubTopic_16,Detail_142,20.08553692
Theme_1,Topic_3,SubTopic_16,Detail_143,8103.083928
Theme_1,Topic_3,SubTopic_16,Detail_144,1096.633158
Theme_1,Topic_3,SubTopic_17,Detail_145,2980.957987
Theme_1,Topic_3,SubTopic_17,Detail_146,1096.633158
Theme_1,Topic_3,SubTopic_17,Detail_147,22026.46579
Theme_1,Topic_3,SubTopic_17,Detail_148,403.4287935
Theme_1,Topic_3,SubTopic_17,Detail_149,7.389056099
Theme_1,Topic_3,SubTopic_17,Detail_150,403.4287935
Theme_1,Topic_3,SubTopic_17,Detail_151,1096.633158
Theme_1,Topic_3,SubTopic_17,Detail_152,148.4131591
Theme_1,Topic_3,SubTopic_17,Detail_153,2980.957987
Theme_1,Topic_3,SubTopic_18,Detail_154,2980.957987
Theme_1,Topic_3,SubTopic_18,Detail_155,8103.083928
Theme_1,Topic_3,SubTopic_18,Detail_156,1096.633158
Theme_1,Topic_3,SubTopic_18,Detail_157,1096.633158
Theme_1,Topic_3,SubTopic_18,Detail_158,403.4287935
Theme_1,Topic_3,SubTopic_18,Detail_159,2.718281828
Theme_1,Topic_3,SubTopic_18,Detail_160,148.4131591
Theme_1,Topic_3,SubTopic_18,Detail_161,20.08553692
Theme_1,Topic_3,SubTopic_18,Detail_162,8103.083928
Theme_1,Topic_4,SubTopic_19,Detail_163,8103.083928
Theme_1,Topic_4,SubTopic_19,Detail_164,1
Theme_1,Topic_4,SubTopic_19,Detail_165,22026.46579
Theme_1,Topic_4,SubTopic_19,Detail_166,20.08553692
Theme_1,Topic_4,SubTopic_19,Detail_167,22026.46579
Theme_1,Topic_4,SubTopic_19,Detail_168,1
Theme_1,Topic_4,SubTopic_19,Detail_169,1096.633158
Theme_1,Topic_4,SubTopic_19,Detail_170,8103.083928
Theme_1,Topic_4,SubTopic_19,Detail_171,2.718281828
Theme_1,Topic_4,SubTopic_20,Detail_172,148.4131591
Theme_1,Topic_4,SubTopic_20,Detail_173,22026.46579
Theme_1,Topic_4,SubTopic_20,Detail_174,7.389056099
Theme_1,Topic_4,SubTopic_20,Detail_175,403.4287935
Theme_1,Topic_4,SubTopic_20,Detail_176,403.4287935
Theme_1,Topic_4,SubTopic_20,Detail_177,7.389056099
Theme_1,Topic_4,SubTopic_20,Detail_178,8103.083928
Theme_1,Topic_4,SubTopic_20,Detail_179,8103.083928
Theme_1,Topic_4,SubTopic_20,Detail_180,22026.46579
Theme_1,Topic_4,SubTopic_21,Detail_181,403.4287935
Theme_1,Topic_4,SubTopic_21,Detail_182,1
Theme_1,Topic_4,SubTopic_21,Detail_183,7.389056099
Theme_1,Topic_4,SubTopic_21,Detail_184,1096.633158
Theme_1,Topic_4,SubTopic_21,Detail_185,1
Theme_1,Topic_4,SubTopic_21,Detail_186,1
Theme_1,Topic_4,SubTopic_21,Detail_187,403.4287935
Theme_1,Topic_4,SubTopic_21,Detail_188,54.59815003
Theme_1,Topic_4,SubTopic_21,Detail_189,7.389056099
Theme_1,Topic_4,SubTopic_22,Detail_190,1096.633158
Theme_1,Topic_4,SubTopic_22,Detail_191,403.4287935
Theme_1,Topic_4,SubTopic_22,Detail_192,7.389056099
Theme_1,Topic_4,SubTopic_22,Detail_193,22026.46579
Theme_1,Topic_4,SubTopic_22,Detail_194,2980.957987
Theme_1,Topic_4,SubTopic_22,Detail_195,22026.46579
Theme_1,Topic_4,SubTopic_22,Detail_196,403.4287935
Theme_1,Topic_4,SubTopic_22,Detail_197,403.4287935
Theme_1,Topic_4,SubTopic_22,Detail_198,1096.633158
Theme_1,Topic_4,SubTopic_23,Detail_199,1
Theme_1,Topic_4,SubTopic_23,Detail_200,20.08553692
Theme_1,Topic_4,SubTopic_23,Detail_201,7.389056099
Theme_1,Topic_4,SubTopic_23,Detail_202,2.718281828
Theme_1,Topic_4,SubTopic_23,Detail_203,1
Theme_1,Topic_4,SubTopic_23,Detail_204,20.08553692
Theme_1,Topic_4,SubTopic_23,Detail_205,8103.083928
Theme_1,Topic_4,SubTopic_23,Detail_206,20.08553692
Theme_1,Topic_4,SubTopic_23,Detail_207,54.59815003
Theme_1,Topic_4,SubTopic_24,Detail_208,148.4131591
Theme_1,Topic_4,SubTopic_24,Detail_209,1
Theme_1,Topic_4,SubTopic_24,Detail_210,20.08553692
Theme_1,Topic_4,SubTopic_24,Detail_211,2980.957987
Theme_1,Topic_4,SubTopic_24,Detail_212,7.389056099
