company name,ticker,sector,year,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50,topic_51,topic_52,topic_53,topic_54,topic_55,topic_56,topic_57,topic_58,topic_59,topic_60,topic_61,topic_62,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_69,topic_70,topic_71,topic_72,topic_73,topic_74,topic_75,topic_76,topic_77,topic_78,topic_79,topic_80,topic_81,topic_82,topic_83,topic_84,topic_85,topic_86,topic_87,topic_88,topic_89,topic_90,topic_91,topic_92,topic_93,topic_94,topic_95,topic_96,topic_97,topic_98,topic_99
Electronic Arts,EA,Communication Services,2017,0.000716365,0.000692288,0.000634536,0.000682532,0.003828127,0.005411147,0.001038748,0.000694784,0.000668301,0.000617827,0.000594858,0.000878723,0.000612721,0.002551987,0.000654852,0.000603302,0.000613822,0.000629362,0.012865112,0.000619594,0.000593165,0.000937049,0.000758358,0.000725935,0.00070932,0.000811607,0.000612438,0.000608316,0.000738565,0.000689051,0.000621467,0.000619888,0.000609199,0.000600239,0.000621903,0.000688836,0.042585181,0.003260249,0.625617859,0.000675085,0.000934877,0.000651526,0.000609625,0.000620808,0.000616746,0.00061613,0.000618821,0.000595869,0.000696605,0.000659127,0.00061444,0.000643995,0.000650358,0.005567345,0.000724384,0.000700221,0.03474412,0.000634864,0.006996564,0.000585218,0.00074836,0.000514595,0.00071674,0.00068754,0.000580591,0.002527501,0.000620919,0.000639696,0.000870155,0.00066897,0.000816162,0.011083334,0.000884789,0.000750137,0.000648323,0.000673126,0.001928249,0.000526111,0.033178699,0.000633458,0.000692372,0.000553999,0.000805517,0.003165679,0.00068874,0.002749988,0.000644846,0.000633116,0.001197224,0.075985974,0.000755114,0.000639744,0.069585191,0.000710663,0.000605186,0.000845698,0.000668537,0.000695524,0.000622158,0.000882936
Alphabet Inc. (Class C),GOOG,Communication Services,2023,0.000961488,0.003585866,0.000898482,0.002663312,0.000829749,0.229790296,0.001605336,0.000837569,0.000896604,0.00096721,0.001355656,0.00083775,0.000727127,0.000901361,0.006370915,0.000719656,0.002345719,0.004673368,0.00547769,0.001714016,0.003178032,0.02786576,0.000953323,0.008939329,0.000927979,0.004162564,0.001199575,0.001139241,0.000889106,0.000939234,0.001956919,0.000760961,0.018102145,0.000780741,0.000886521,0.006554377,0.001093489,0.000977228,0.219533602,0.001814223,0.000942932,0.004194289,0.005662737,0.000896703,0.00084416,0.000858399,0.000739684,0.000914914,0.000787469,0.000740328,0.000763416,0.000890842,0.051721629,0.000988602,0.005789115,0.000877511,0.151869286,0.000875859,0.000810003,0.00079815,0.000924158,0.000733201,0.000945964,0.014741371,0.000774246,0.00099648,0.000880226,0.006754819,0.005233306,0.00279987,0.001750751,0.000811377,0.000973042,0.000728516,0.00169571,0.000873058,0.003727461,0.017725111,0.000733001,0.000743308,0.000878517,0.000732239,0.001215477,0.003312594,0.001269212,0.047386661,0.000830711,0.000919226,0.001756737,0.000739265,0.019386481,0.000852865,0.036503208,0.001428325,0.006460183,0.000941312,0.003013309,0.000902198,0.00298375,0.001163205
CenturyLink Inc.,CTL,Communication Services,2019,0.000877481,0.000877257,0.001090684,0.000885793,0.024035681,0.001024083,0.000806888,0.001058692,0.000820015,0.003855579,0.024476937,0.00078592,0.000856382,0.000978035,0.014977637,0.000803621,0.000837223,0.00107932,0.071152058,0.001149577,0.000868076,0.000960758,0.000932191,0.000725907,0.000870794,0.00084543,0.001872704,0.000771383,0.000861977,0.000800811,0.000828304,0.046044018,0.000932326,0.000780057,0.000886356,0.001114337,0.000737271,0.000945251,0.003323692,0.001379938,0.016449637,0.000889928,0.008373007,0.000884883,0.009669678,0.013850232,0.000733048,0.000776853,0.000891244,0.002720669,0.000760861,0.000814709,0.080260648,0.00335555,0.015912053,0.00096018,0.001214354,0.000894847,0.000951573,0.008015545,0.001091737,0.000745617,0.000782074,0.001012718,0.000796866,0.001026879,0.000802864,0.000968348,0.00084191,0.000818501,0.000818309,0.000903351,0.001365525,0.000843475,0.001346715,0.001019443,0.000849188,0.000683444,0.000804104,0.000822334,0.000855468,0.000723778,0.004392356,0.005747464,0.001233238,0.000923656,0.000983709,0.001129919,0.00082961,0.000773933,0.000821733,0.000945068,0.000860097,0.000811115,0.000743232,0.002400815,0.000828048,0.000805066,0.001743209,0.566815138
Nielsen Holdings PLC,NLSN,Communication Services,2014,0.000738401,0.000734087,0.021021086,0.0162851,0.000861348,0.000776045,0.011301065,0.000713341,0.000701175,0.000689198,0.000588112,0.000584918,0.000595925,0.000846683,0.000574765,0.000573746,0.000707828,0.00068549,0.000632946,0.001429073,0.000649437,0.000938054,0.000693165,0.000568719,0.000661212,0.009433283,0.000628708,0.000747418,0.000639062,0.000813978,0.004103342,0.044071293,0.000808339,0.000608751,0.000725691,0.000602487,0.00068607,0.000659491,0.08816874,0.000725193,0.081853475,0.007863087,0.001290917,0.00063915,0.001627217,0.000603203,0.100932409,0.000607803,0.009809032,0.000691353,0.000584196,0.000679447,0.000650301,0.018578719,0.000603661,0.084763028,0.000995962,0.000779245,0.001135212,0.000517092,0.00089714,0.000573026,0.000685563,0.000687336,0.000628353,0.011343607,0.00063399,0.00077565,0.000665649,0.001688088,0.001314847,0.000724727,0.000645013,0.003328981,0.002304642,0.000674645,0.000687418,0.001530981,0.020631785,0.000601977,0.00076691,0.013638551,0.002089094,0.115513516,0.000699466,0.006898588,0.00064331,0.080758671,0.000716782,0.000555258,0.001432372,0.000639162,0.163905022,0.003998769,0.003301164,0.007847307,0.000667876,0.00091723,0.00066944,0.010140821
Interpublic Group of Companies (The),IPG,Communication Services,2021,0.001537244,0.000899197,0.580309175,0.000793494,0.000844783,0.000940447,0.004320854,0.001904122,0.000863581,0.00085753,0.004950293,0.000704245,0.000836694,0.00088891,0.000822181,0.008040471,0.000793338,0.018577603,0.003706249,0.001103582,0.005680191,0.000994769,0.000871531,0.000779653,0.001487736,0.030895715,0.000965956,0.000719032,0.009563499,0.001126009,0.005702328,0.058863117,0.000895767,0.000867604,0.001397126,0.000835871,0.000954287,0.000838267,0.003845548,0.001295749,0.000825918,0.021419922,0.001242721,0.000858182,0.000791797,0.00080678,0.000667715,0.000728471,0.00308279,0.006470931,0.000830439,0.000847975,0.000759918,0.00201547,0.001102396,0.050905133,0.001177665,0.000869593,0.001345119,0.000753403,0.000810316,0.000735535,0.001049616,0.001022266,0.043072012,0.019420535,0.00081855,0.000970529,0.006328002,0.002874405,0.000797294,0.018913987,0.00088202,0.000830298,0.001130305,0.00102427,0.000887405,0.002030073,0.000662443,0.000764013,0.000911401,0.000710944,0.000774769,0.00069518,0.00120091,0.000809302,0.00081329,0.000860108,0.000829339,0.000731806,0.000828932,0.00084399,0.000928459,0.001431881,0.000714147,0.00082197,0.000782461,0.000961404,0.000896007,0.018653739
Verizon,VZ,Communication Services,2020,0.001248056,0.001407851,0.004717063,0.000925706,0.000929352,0.001226174,0.002859077,0.001054577,0.000950979,0.0009177,0.001002972,0.000864804,0.000895323,0.001031097,0.033921713,0.000882909,0.000884882,0.001612055,0.613535337,0.000931399,0.003302385,0.001118194,0.004074715,0.000896078,0.000974565,0.002774951,0.000974352,0.000910203,0.001517672,0.000926754,0.003586363,0.030223448,0.001747413,0.000859163,0.000912688,0.001269497,0.001420219,0.000887398,0.022846392,0.001227399,0.008068469,0.00099337,0.001129164,0.000988124,0.000902927,0.014961643,0.003025615,0.000825864,0.000942975,0.00092189,0.000902641,0.000982923,0.001000203,0.00085851,0.001073389,0.000911884,0.0011594,0.001232832,0.000958571,0.000789682,0.000830368,0.00727834,0.000872196,0.001301447,0.068335639,0.001076382,0.004248202,0.001043943,0.00096835,0.002062186,0.001603342,0.001021967,0.000920262,0.000901227,0.001533,0.001002184,0.00087236,0.00080954,0.000793799,0.000910694,0.000974053,0.000821222,0.000907744,0.000791336,0.005526919,0.01157003,0.001074858,0.0010238,0.000944752,0.000799113,0.019666826,0.020544222,0.002109579,0.003956374,0.000897886,0.001712689,0.000920984,0.00113,0.001469982,0.027893255
Paramount Global,PARA,Communication Services,2022,0.039640523,0.001073961,0.001069685,0.001276436,0.001109293,0.001650002,0.000880761,0.001024503,0.000958571,0.00095214,0.000841497,0.000778787,0.000918147,0.00097158,0.000773835,0.000836545,0.000995416,0.001492502,0.001204237,0.000865184,0.00084565,0.001290367,0.005229719,0.000782507,0.000903206,0.001081188,0.00089242,0.001412252,0.015821285,0.047272879,0.000852606,0.001251787,0.001025824,0.00079923,0.000958054,0.00086704,0.000930948,0.00100944,0.466747611,0.001465984,0.001242777,0.001133439,0.000719097,0.000992606,0.001184185,0.000885659,0.000812449,0.000923537,0.000911202,0.001214359,0.000898148,0.000840096,0.000864049,0.005252895,0.001548309,0.000842283,0.001074025,0.00173166,0.027641396,0.001544303,0.030725634,0.000781947,0.000911657,0.024801448,0.001246166,0.001068461,0.000782996,0.001047044,0.000958263,0.04423364,0.001283774,0.000909724,0.00100395,0.001486369,0.001771987,0.046279344,0.000866047,0.003486598,0.001010916,0.014426464,0.001035932,0.005269397,0.000923243,0.00075718,0.00107646,0.024574316,0.001498586,0.00103129,0.000855735,0.000815734,0.007096721,0.040198766,0.001212109,0.00201558,0.003387016,0.000852401,0.000952613,0.000806167,0.004037342,0.059510914
Netflix,NFLX,Communication Services,2020,0.001500468,0.0021827,0.001368579,0.001501379,0.001466766,0.001904169,0.001528454,0.001882892,0.001596887,0.001533137,0.010102923,0.001430548,0.001447439,0.004453678,0.001536196,0.003687682,0.017515866,0.00151573,0.001946263,0.002466258,0.001531016,0.001542606,0.001573519,0.012164473,0.001319386,0.001695268,0.001336608,0.001760658,0.001970824,0.001738678,0.00139598,0.001369335,0.00923833,0.001572715,0.002053518,0.009858716,0.001383656,0.001544095,0.343309803,0.001569897,0.001263105,0.001777333,0.001963377,0.001501871,0.003054613,0.001457654,0.001265955,0.001321271,0.001565756,0.001669516,0.001481128,0.001331549,0.001309907,0.004889022,0.001992746,0.001608053,0.003016631,0.001920813,0.180430207,0.00123859,0.002799094,0.001367778,0.001632196,0.033299209,0.079280241,0.001583411,0.001390215,0.001815772,0.001639436,0.001672663,0.001366959,0.001491059,0.001437119,0.001535696,0.013479235,0.001676962,0.003789429,0.00177508,0.001277165,0.001988183,0.001789557,0.001554744,0.007716316,0.001240131,0.014565181,0.047465365,0.001310262,0.001816533,0.004936663,0.001325519,0.001478179,0.001768553,0.004035446,0.003539616,0.001422625,0.001638027,0.001547708,0.001927884,0.011089734,0.052978862
"Discovery, Inc.",DISCA,Communication Services,2017,0.000995468,0.000843097,0.001105605,0.00082573,0.000949347,0.00081626,0.023289857,0.001024053,0.001276586,0.000806198,0.002925837,0.014418935,0.001290555,0.000915575,0.002522374,0.000842916,0.002970828,0.000900435,0.025881051,0.000842446,0.000930132,0.038255885,0.000976749,0.00638678,0.000788936,0.019151311,0.000785843,0.000986657,0.010621564,0.000841947,0.000938192,0.000814491,0.000821706,0.000757914,0.001777765,0.001042916,0.000801637,0.00089798,0.454627172,0.00168591,0.015783426,0.001898687,0.000861649,0.000949976,0.000819865,0.001887128,0.000829665,0.000682871,0.024847687,0.000807996,0.000826237,0.000800515,0.000777278,0.001033432,0.000911935,0.000790157,0.000946824,0.000862446,0.002520821,0.000719044,0.001036831,0.000702476,0.00080262,0.001216624,0.000821665,0.068190647,0.000748083,0.002399469,0.000869746,0.013402901,0.000774689,0.000996659,0.000783108,0.000802388,0.003207074,0.000911529,0.000798454,0.009262577,0.066154877,0.000774885,0.001097808,0.000900475,0.00094709,0.005262828,0.008697986,0.001217846,0.020781275,0.002094383,0.000825412,0.000707749,0.000825604,0.000924312,0.044029181,0.013214189,0.000841669,0.000927801,0.000937296,0.015696046,0.006902039,0.009619429
Alphabet Inc. (Class A),GOOGL,Communication Services,2016,0.000793668,0.002206122,0.004480995,0.002151139,0.000853403,0.000903465,0.000787358,0.000911374,0.000832901,0.005364689,0.019083388,0.005542608,0.000730192,0.000919714,0.001833735,0.000744051,0.000924993,0.014994749,0.056139038,0.008115496,0.000815902,0.00085119,0.000823001,0.000726988,0.000825868,0.001363352,0.001212873,0.001039801,0.003772784,0.000918885,0.004461759,0.000808149,0.000978307,0.000961742,0.001590393,0.025850607,0.001007509,0.000831326,0.274016282,0.004037911,0.014567902,0.000954206,0.000778621,0.000861695,0.000886718,0.008373733,0.000766941,0.00079025,0.000810373,0.000935012,0.00077435,0.000769597,0.067519,0.004153075,0.000812629,0.000866508,0.126269989,0.000758151,0.000943664,0.002326269,0.000755941,0.000739781,0.000858397,0.00155588,0.000837945,0.000981652,0.001068754,0.001361487,0.000894673,0.001273779,0.002514399,0.00094343,0.000894155,0.000751103,0.001552582,0.000895985,0.00919609,0.003303796,0.017632626,0.000750787,0.001404723,0.000724229,0.036104649,0.018916112,0.00114281,0.00119599,0.000756202,0.009756159,0.000935739,0.000752081,0.038815599,0.000804585,0.132299504,0.00507531,0.001166102,0.006859268,0.000880849,0.001372562,0.001337526,0.000810366
